target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,proposal_source,formula_matches_collected,total_generated,total_valid,total_formula_matched,unique_valid_smiles,duplicate_valid_smiles,valid_duplicate_rate,formula_duplicate_matches,formula_match_fraction_among_valid,unique_valid_fraction_among_valid,generation_time,num_tokens_unmask,encoder_batch_size,top_prediction_smiles
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.5593220591545105,0.5593220591545105,0.5593220591545105,0.8333333134651184,MassSpecGymID0000201,CCC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C(C)(C)C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)C1=O,formula,1,23,4,1,4,0,0.0,0,0.25,1.0,4.267470836639404,1,1,['CCC(C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C(C)(C)C)[C@H](Cc2ccccc2)C(=O)O[C@H](C(C)C)C(=O)N(C)C1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.40909090638160706,0.40909090638160706,0.40909090638160706,0.7291666865348816,MassSpecGymID0000202,CCC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)C(C(C)CC)N(Cc2ccccc2)C(=O)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC1=O,formula,1,24,2,1,2,0,0.0,0,0.5,1.0,3.849266290664673,1,1,['CCC(C)C1OC(=O)C(Cc2ccccc2)OC(=O)C(C(C)CC)N(Cc2ccccc2)C(=O)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.6938775777816772,0.6938775777816772,0.6938775777816772,0.875,MassSpecGymID0000203,CC[C@@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)N(C)C1=O,formula,1,32,32,0,25,7,0.21875,0,0.0,0.78125,5.976154327392578,1,1,['CC[C@@H](C)[C@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)N(C)C1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.3835616409778595,0.3835616409778595,0.3835616409778595,0.875,MassSpecGymID0000204,CCC(C)C1C(=O)OC(Cc2ccccc2)C(=O)[N+](C)([O-])C(C(C)C)C(=O)OC(c2ccccc2)C(=O)C(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)N1C,formula,1,24,22,1,22,0,0.0,0,0.045454545454545456,1.0,3.7910029888153076,1,1,['CCC(C)C1C(=O)OC(Cc2ccccc2)C(=O)[N+](C)([O-])C(C(C)C)C(=O)OC(c2ccccc2)C(=O)C(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)N1C']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.4848484992980957,0.4848484992980957,0.4848484992980957,0.875,MassSpecGymID0000205,CCC(C)C1C(=O)OC(Cc2ccccc2)C(=O)N(C)CC(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)OC(C)C(Cc2ccccc2)C(=O)N1C,formula,1,23,15,1,13,2,0.13333333333333333,0,0.06666666666666667,0.8666666666666667,3.793182611465454,1,1,['CCC(C)C1C(=O)OC(Cc2ccccc2)C(=O)N(C)CC(=O)N(C)C(Cc2ccccc2)C(=O)OC(C(C)C)C(=O)OC(C)C(Cc2ccccc2)C(=O)N1C']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.4202898442745209,0.4202898442745209,0.4202898442745209,0.8536585569381714,MassSpecGymID0000206,CCC(C)C1C(=O)OC(Cc2ccccc2)C(=O)N(C)C(=O)N(C)C(C(C)C)C(=O)OC(Cc2ccccc2)(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O,formula,1,24,6,1,6,0,0.0,0,0.16666666666666666,1.0,3.809220790863037,1,1,['CCC(C)C1C(=O)OC(Cc2ccccc2)C(=O)N(C)C(=O)N(C)C(C(C)C)C(=O)OC(Cc2ccccc2)(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.875,MassSpecGymID0000207,CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)O)[C@@H](Cc2ccccc2)OC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)[C@H](C(C)C)[C@@H](Cc2ccccc2)C(=O)N1C,formula,1,24,16,1,14,2,0.125,0,0.0625,0.875,3.845202922821045,1,1,['CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)O)[C@@H](Cc2ccccc2)OC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)[C@H](C(C)C)[C@@H](Cc2ccccc2)C(=O)N1C']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.46875,0.46875,0.46875,0.8333333134651184,MassSpecGymID0000208,CCC1OC(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC(=O)C(C(C)CC)N(Cc2ccccc2)C(=O)C(C)OC(=O)C(Cc2ccccc2)N(C)C1=O,formula,1,23,10,1,10,0,0.0,0,0.1,1.0,3.9750845432281494,1,1,['CCC1OC(=O)C(C(C)C)N(C)C(=O)C(Cc2ccccc2)OC(=O)C(C(C)CC)N(Cc2ccccc2)C(=O)C(C)OC(=O)C(Cc2ccccc2)N(C)C1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.5384615659713745,0.5384615659713745,0.5384615659713745,0.875,MassSpecGymID0000209,CCC(C)C1C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(Cc2ccccc2)C(=O)N(C)C(C(C)C)OC(=O)C(N)(Cc2ccccc2)C1=O,formula,1,24,8,1,7,1,0.125,0,0.125,0.875,3.936257839202881,1,1,['CCC(C)C1C(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(=O)OC(Cc2ccccc2)C(=O)N(C)C(C(C)C)OC(=O)C(N)(Cc2ccccc2)C1=O']
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,1,0.0,0.0,0.43939393758773804,0.43939393758773804,0.43939393758773804,0.8536585569381714,MassSpecGymID0000210,CC[C@H](C)[C@H]1C(=O)N(Cc2ccccc2)[C@@H]([C@@H](C)CC)C(=O)O[C@H](Cc2ccccc2)C(=O)OC(=O)[C@H](C(C)C)OC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C,formula,1,23,3,1,3,0,0.0,0,0.3333333333333333,1.0,3.9178457260131836,1,1,['CC[C@H](C)[C@H]1C(=O)N(Cc2ccccc2)[C@@H]([C@@H](C)CC)C(=O)O[C@H](Cc2ccccc2)C(=O)OC(=O)[C@H](C(C)C)OC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)N1C']
