target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,total_unique_generated
C(C(=O)O)NC(=O)CN1C2C(NC(=O)N2)NC1=O,CXCKOTGRTPLISC,40,0.0,0.0,0.109375,0.12727272510528564,0.08266020389273762,0.17307692766189575,MassSpecGymID0374577,NOCOCc1nc(C(N)=O)c(=O)[nH]c1C(N)=O,40
CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CC2=CC=CC=C2)/C=C/C(=C/C(C)C(CC3=CC=CC=C3)OC)/C,FEVBMCJUKWWWBT,51,0.0,0.0,0.349056601524353,0.349056601524353,0.21183195649920142,0.8584905862808228,MassSpecGymID0075191,C=C1C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(=O)[O-])C(CC(C)C)N1C,51
CCCCCCCC(=O)C(C)C(=O)N(C)[C@H](CC1=CC=C(C=C1)OC)C(=O)N(C)[C@@H](C(C)C)C(=O)N,KKNYIFDIQAVMQG,61,0.0,0.0,0.18269230425357819,0.20879121124744415,0.1702848624010555,0.2469135820865631,MassSpecGymID0395776,CCCCCC[C@@H](C)N(CCC(=O)NCCC[C@H]1CC2=C(O1)C(C)=C(C)[C@H](O)NC(=O)C=C2)C(C)=O,61
CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl,APTZNLHMIGJTEW,30,1.0,1.0,1.0,1.0,0.45844314284622667,1.0,MassSpecGymID0088989,CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,30
CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)OC(=O)C)COC,RIPYIJVYDYCPKW,42,0.0,0.0,0.17266187071800232,0.19847328960895538,0.1515316693555741,0.1984127014875412,MassSpecGymID0134704,CC[C@H](C)C(=O)O[C@H]1[C@@H](OC(C)=O)[C@H](C)CC2C3C(=O)C(O)[C@@H]4C5=CC6OC7CCC6NC(O)C[C@@H]([C@H]7C4[C@H]5O)[C@@]3(C)OC(=O)[C@]21O,42
CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)O)C,RWXIFXNRCLMQCD,58,0.0,0.0,0.7848101258277893,0.7848101258277893,0.4076293994640482,0.7142857313156128,MassSpecGymID0262882,CC(C)=CCC[C@](C)(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@]3(C)CC[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,58
CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)OC(=O)C4=COC(C(C4CCO)C=C)OC5C(C(C(C(O5)CO)O)O)O,VSNATUGVSVGFFN,61,0.0,0.0,0.5666666626930237,0.6794871687889099,0.4391165121962301,0.9142857193946838,MassSpecGymID0310002,C=C[C@H]1[C@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@@H]1[C@@H]1CC[C@H](O[C@@H]2OC=C(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC2C)[C@H]1C,61
CC1=C(C(=O)OC(C1)C(C)(C2CCC3C2(CCC4C3CC=C5C4(C(CC(C5)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)O)O)O)O)C)C)O)C,MKCYAASFWFGIJK,50,0.0,0.0,0.6600000262260437,0.6600000262260437,0.34880201280117035,0.5945945978164673,MassSpecGymID0193644,CC1=C(CO)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@@H]3[C@@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@@H]6O)C[C@@H](O)[C@]5(C)[C@H]4CC[C@@]23C)C1,50
COC1=C(C=C(C=C1)C2=NCCN2)C3=CN(N=N3)C4=CC=CC(=C4)C5=NCCN5,YYPYGOBZSTWBLU,45,0.0,0.0,0.16853933036327362,0.2933333218097687,0.17399904520975218,0.3125,MassSpecGymID0179811,Cn1cnc(-c2ccc3cc(-c4cn(CCN5CCC(=O)C5)nn4)cnc3c2)c1,45
C1=CC=C(C(=C1)CC(=O)NC2=CC=C(C=C2)C3=C(C=C(C=C3)C(C(F)(F)F)(C(F)(F)F)O)F)[N+](=O)[O-],MNVXADPCMINSEC,56,0.0,0.0,0.5735294222831726,0.6290322542190552,0.3760226690210402,0.6610169410705566,MassSpecGymID0236112,O=[O+][N-]c1ccc(NC(=O)Cc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,56
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6)OC)OC)OC,RHYJRVWWDRGDRZ,62,0.0,0.0,0.3384615480899811,0.3384615480899811,0.15998787197074102,0.5283018946647644,MassSpecGymID0380611,CNCC(Nc1ccc2c(cc1=O)NN(SCC(=O)C(C)C)CCC2=O)C1CCc2cc(OC)c(OC)c(OC)c2C(=O)c2cc(OC)ccc21,62
CCC(CC)C1=NN=C(S1)NC(=O)CS(=O)(=O)CC2=CC=CC=C2,FSEOPJIGTIEFRA,54,1.0,1.0,1.0,1.0,0.33860130207958045,0.7272727489471436,MassSpecGymID0211487,CCC(CC)c1nnc(NC(=O)CS(=O)(=O)Cc2ccccc2)s1,54
C1CC2CCC1[C@@H]([C@H]2NC3=NC(=NC=C3F)C4=CNC5=C4C=C(C=N5)F)C(=O)O,JGPXDNKSIXAZEQ,41,1.0,1.0,1.0,1.0,0.5052966321023499,0.7580645084381104,MassSpecGymID0225773,O=C(O)C1C2CCC(CC2)C1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,41
CC1=NC(=CC(=N1)NC2=CC=CC=N2)NCCNC(=O)C3=CC=C(C=C3)Cl,QDIOBBHRAVYZSK,54,0.0,0.0,0.31506848335266113,0.4677419364452362,0.22093870297626214,0.5,MassSpecGymID0212445,Cc1cc(C)nc(N2CCn3nc(NC(=O)c4ccc(Cl)cc4)cc3C2)n1,54
